feature,importance
amount_oldOrg_ratio,0.34782183
type_CASH_IN,0.26604247
isMerchantDest,0.11310769
abs_balance_change_org,0.063903965
oldbalanceOrg,0.032413088
type_PAYMENT,0.027681695
amount_log,0.02726749
amount_percentile,0.024480943
type_TRANSFER,0.018518284
amount,0.013937567
orig_tx_sum,0.010694034
type_CASH_OUT,0.0091342125
amount_zscore,0.0076989
amount_oldDest_ratio,0.0062823133
abs_balance_change_dest,0.0047104377
hour,0.004587607
orig_max_amount,0.0030372217
oldbalanceDest,0.0029979816
dest_tx_sum,0.0029110268
orig_tx_mean,0.002605054
amount_bin,0.0019220501
is_night,0.001781989
day,0.001697892
dest_tx_count,0.0014410411
type_DEBIT,0.0012546896
dest_max_amount,0.00093589065
dest_tx_mean,0.00088114437
large_amt_flag,0.0002514364
isMerchantOrig,0.0
orig_tx_count,0.0
